,type,id,attributes.accession,attributes.analysis-status,attributes.experiment-type,attributes.analysis-summary,attributes.pipeline-version,attributes.is-private,attributes.complete-time,attributes.instrument-platform,attributes.instrument-model,relationships.sample.data.id,relationships.sample.data.type,relationships.run.data.id,relationships.run.data.type,relationships.study.data.id,relationships.study.data.type
0,analysis-jobs,MGYA00429532,MGYA00429532,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '472'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '453'}, {'key': 'Nucleotide sequences after length filtering', 'value': '453'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '453'}, {'key': 'Predicted SSU sequences', 'value': '73'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:11:51,ILLUMINA,Illumina MiSeq,ERS1015541,samples,ERR1190110,runs,MGYS00001499,studies
1,analysis-jobs,MGYA00429533,MGYA00429533,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '144085'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '143187'}, {'key': 'Nucleotide sequences after length filtering', 'value': '143187'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '143187'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:12:22,ILLUMINA,Illumina MiSeq,ERS1014358,samples,ERR1189786,runs,MGYS00001499,studies
2,analysis-jobs,MGYA00429534,MGYA00429534,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '72'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '72'}, {'key': 'Nucleotide sequences after length filtering', 'value': '72'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '72'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-01-16T21:06:35,ILLUMINA,Illumina MiSeq,ERS1014348,samples,ERR1189776,runs,MGYS00001499,studies
3,analysis-jobs,MGYA00429535,MGYA00429535,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '14'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '14'}, {'key': 'Nucleotide sequences after length filtering', 'value': '14'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '14'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:47:34,ILLUMINA,Illumina MiSeq,ERS1014299,samples,ERR1189727,runs,MGYS00001499,studies
4,analysis-jobs,MGYA00429536,MGYA00429536,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '149782'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '148967'}, {'key': 'Nucleotide sequences after length filtering', 'value': '148967'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '148967'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:56:02,ILLUMINA,Illumina MiSeq,ERS1014289,samples,ERR1189717,runs,MGYS00001499,studies
5,analysis-jobs,MGYA00429537,MGYA00429537,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '178526'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '177695'}, {'key': 'Nucleotide sequences after length filtering', 'value': '177695'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '177695'}, {'key': 'Predicted SSU sequences', 'value': '36'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:14:00,ILLUMINA,Illumina MiSeq,ERS1014270,samples,ERR1189698,runs,MGYS00001499,studies
6,analysis-jobs,MGYA00429541,MGYA00429541,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '176'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '173'}, {'key': 'Nucleotide sequences after length filtering', 'value': '173'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '173'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:13:38,ILLUMINA,Illumina MiSeq,ERS1015550,samples,ERR1190119,runs,MGYS00001499,studies
7,analysis-jobs,MGYA00429542,MGYA00429542,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '291'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '289'}, {'key': 'Nucleotide sequences after length filtering', 'value': '289'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '289'}, {'key': 'Predicted SSU sequences', 'value': '4'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-01-16T21:15:29,ILLUMINA,Illumina MiSeq,ERS1015532,samples,ERR1190101,runs,MGYS00001499,studies
8,analysis-jobs,MGYA00429543,MGYA00429543,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '131602'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '130981'}, {'key': 'Nucleotide sequences after length filtering', 'value': '130981'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '130981'}, {'key': 'Predicted SSU sequences', 'value': '2'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:12:49,ILLUMINA,Illumina MiSeq,ERS1014339,samples,ERR1189767,runs,MGYS00001499,studies
9,analysis-jobs,MGYA00429545,MGYA00429545,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '133432'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '132667'}, {'key': 'Nucleotide sequences after length filtering', 'value': '132667'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '132667'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:17:56,ILLUMINA,Illumina MiSeq,ERS1014308,samples,ERR1189736,runs,MGYS00001499,studies
10,analysis-jobs,MGYA00429546,MGYA00429546,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '116276'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '115673'}, {'key': 'Nucleotide sequences after length filtering', 'value': '115673'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '115673'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-01-16T21:18:15,ILLUMINA,Illumina MiSeq,ERS1014292,samples,ERR1189720,runs,MGYS00001499,studies
11,analysis-jobs,MGYA00429547,MGYA00429547,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '139901'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '139306'}, {'key': 'Nucleotide sequences after length filtering', 'value': '139306'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '139306'}, {'key': 'Predicted SSU sequences', 'value': '1'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:46:18,ILLUMINA,Illumina MiSeq,ERS1014291,samples,ERR1189719,runs,MGYS00001499,studies
12,analysis-jobs,MGYA00429548,MGYA00429548,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '68'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '67'}, {'key': 'Nucleotide sequences after length filtering', 'value': '67'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '67'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:23:04,ILLUMINA,Illumina MiSeq,ERS1014283,samples,ERR1189711,runs,MGYS00001499,studies
13,analysis-jobs,MGYA00429549,MGYA00429549,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '98219'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '97702'}, {'key': 'Nucleotide sequences after length filtering', 'value': '97702'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '97702'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:19:10,ILLUMINA,Illumina MiSeq,ERS1014273,samples,ERR1189701,runs,MGYS00001499,studies
14,analysis-jobs,MGYA00429558,MGYA00429558,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '44'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '44'}, {'key': 'Nucleotide sequences after length filtering', 'value': '44'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '44'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-01-16T21:42:46,ILLUMINA,Illumina MiSeq,ERS1015546,samples,ERR1190115,runs,MGYS00001499,studies
15,analysis-jobs,MGYA00429559,MGYA00429559,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '399'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '396'}, {'key': 'Nucleotide sequences after length filtering', 'value': '396'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '396'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:51:34,ILLUMINA,Illumina MiSeq,ERS1015538,samples,ERR1190107,runs,MGYS00001499,studies
16,analysis-jobs,MGYA00429560,MGYA00429560,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '166508'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '165587'}, {'key': 'Nucleotide sequences after length filtering', 'value': '165587'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '165587'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-01-16T21:43:24,ILLUMINA,Illumina MiSeq,ERS1014357,samples,ERR1189785,runs,MGYS00001499,studies
17,analysis-jobs,MGYA00429561,MGYA00429561,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '178131'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '177337'}, {'key': 'Nucleotide sequences after length filtering', 'value': '177337'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '177337'}, {'key': 'Predicted SSU sequences', 'value': '1'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:09:19,ILLUMINA,Illumina MiSeq,ERS1014282,samples,ERR1189710,runs,MGYS00001499,studies
