,type,id,attributes.accession,attributes.analysis-status,attributes.pipeline-version,attributes.analysis-summary,attributes.experiment-type,attributes.is-private,attributes.complete-time,attributes.instrument-platform,attributes.instrument-model,relationships.sample.data.id,relationships.sample.data.type,relationships.run.data.id,relationships.run.data.type,relationships.study.data.id,relationships.study.data.type
0,analysis-jobs,MGYA00567538,MGYA00567538,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '2696'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '2684'}, {'key': 'Nucleotide sequences after length filtering', 'value': '2684'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '2684'}, {'key': 'Predicted SSU sequences', 'value': '2610'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:39:12,ILLUMINA,Illumina MiniSeq,SRS6297619,samples,SRR11282158,runs,MGYS00005611,studies
1,analysis-jobs,MGYA00567539,MGYA00567539,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '15794'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '15742'}, {'key': 'Nucleotide sequences after length filtering', 'value': '15742'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '15742'}, {'key': 'Predicted SSU sequences', 'value': '14915'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:40:20,ILLUMINA,Illumina MiniSeq,SRS6297694,samples,SRR11282082,runs,MGYS00005611,studies
2,analysis-jobs,MGYA00567540,MGYA00567540,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '2857'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '2850'}, {'key': 'Nucleotide sequences after length filtering', 'value': '2850'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '2850'}, {'key': 'Predicted SSU sequences', 'value': '2700'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:40:54,ILLUMINA,Illumina MiniSeq,SRS6297726,samples,SRR11282054,runs,MGYS00005611,studies
3,analysis-jobs,MGYA00567541,MGYA00567541,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '9922'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '9887'}, {'key': 'Nucleotide sequences after length filtering', 'value': '9887'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '9887'}, {'key': 'Predicted SSU sequences', 'value': '9272'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:41:29,ILLUMINA,Illumina MiniSeq,SRS6297613,samples,SRR11282164,runs,MGYS00005611,studies
4,analysis-jobs,MGYA00567542,MGYA00567542,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '8371'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '8323'}, {'key': 'Nucleotide sequences after length filtering', 'value': '8323'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '8323'}, {'key': 'Predicted SSU sequences', 'value': '7547'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:42:01,ILLUMINA,Illumina MiniSeq,SRS6297614,samples,SRR11282163,runs,MGYS00005611,studies
5,analysis-jobs,MGYA00567543,MGYA00567543,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '155068'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '154439'}, {'key': 'Nucleotide sequences after length filtering', 'value': '154439'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '154439'}, {'key': 'Predicted SSU sequences', 'value': '153273'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:42:43,ILLUMINA,Illumina MiniSeq,SRS6297615,samples,SRR11282162,runs,MGYS00005611,studies
6,analysis-jobs,MGYA00567544,MGYA00567544,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '8208'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '8180'}, {'key': 'Nucleotide sequences after length filtering', 'value': '8180'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '8180'}, {'key': 'Predicted SSU sequences', 'value': '7940'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:43:25,ILLUMINA,Illumina MiniSeq,SRS6297616,samples,SRR11282161,runs,MGYS00005611,studies
7,analysis-jobs,MGYA00567545,MGYA00567545,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '1869'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '1859'}, {'key': 'Nucleotide sequences after length filtering', 'value': '1859'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '1859'}, {'key': 'Predicted SSU sequences', 'value': '1397'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:44:02,ILLUMINA,Illumina MiniSeq,SRS6297617,samples,SRR11282160,runs,MGYS00005611,studies
8,analysis-jobs,MGYA00567546,MGYA00567546,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '2789'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '2775'}, {'key': 'Nucleotide sequences after length filtering', 'value': '2775'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '2775'}, {'key': 'Predicted SSU sequences', 'value': '2731'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:44:36,ILLUMINA,Illumina MiniSeq,SRS6297618,samples,SRR11282159,runs,MGYS00005611,studies
9,analysis-jobs,MGYA00567547,MGYA00567547,completed,5.0,"[{'key': 'Submitted nucleotide sequences', 'value': '4052'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '4041'}, {'key': 'Nucleotide sequences after length filtering', 'value': '4041'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '4041'}, {'key': 'Predicted SSU sequences', 'value': '3976'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",amplicon,False,2020-09-24T00:45:21,ILLUMINA,Illumina MiniSeq,SRS6297620,samples,SRR11282157,runs,MGYS00005611,studies
